region_nombre,Fecha,avance_porcentual,cobertura_porcentual,rango_cobertura
Magallanes,2021-01-16,0.09,0.09,<50
Tarapacá,2021-01-16,0.04,0.0,<50
Valparaíso,2021-01-16,0.07,0.0,<50
Ñuble,2021-01-16,0.0,0.0,<50
Biobío,2021-01-16,0.13,0.12,<50
O’Higgins,2021-01-16,0.0,0.0,<50
Maule,2021-01-16,0.04,0.0,<50
Metropolitana,2021-01-16,0.1,0.07,<50
Aysén,2021-01-17,0.0,0.0,<50
Antofagasta,2021-01-17,0.0,0.0,<50
Arica y Parinacota,2021-01-17,0.0,0.0,<50
Atacama,2021-01-17,0.0,0.0,<50
Coquimbo,2021-01-17,0.0,0.0,<50
Araucanía,2021-01-17,0.07,0.07,<50
Los Lagos,2021-01-17,0.06,0.0,<50
Los Ríos,2021-01-17,0.04,0.0,<50
Magallanes,2021-01-17,0.09,0.09,<50
Tarapacá,2021-01-17,0.04,0.0,<50
Valparaíso,2021-01-17,0.07,0.0,<50
Ñuble,2021-01-17,0.0,0.0,<50
Biobío,2021-01-17,0.13,0.12,<50
O’Higgins,2021-01-17,0.0,0.0,<50
Maule,2021-01-17,0.04,0.0,<50
Metropolitana,2021-01-17,0.1,0.07,<50
Aysén,2021-01-18,0.58,0.0,<50
Antofagasta,2021-01-18,0.39,0.0,<50
Arica y Parinacota,2021-01-18,0.35,0.0,<50
Atacama,2021-01-18,0.1,0.0,<50
Coquimbo,2021-01-18,0.29,0.0,<50
Araucanía,2021-01-18,0.07,0.07,<50
Los Lagos,2021-01-18,0.06,0.0,<50
Los Ríos,2021-01-18,0.04,0.0,<50
Magallanes,2021-01-18,0.09,0.09,<50
Tarapacá,2021-01-18,0.04,0.0,<50
Valparaíso,2021-01-18,0.07,0.0,<50
Ñuble,2021-01-18,0.33,0.0,<50
Biobío,2021-01-18,0.13,0.12,<50
O’Higgins,2021-01-18,0.22,0.0,<50
Maule,2021-01-18,0.04,0.0,<50
Metropolitana,2021-01-18,0.1,0.07,<50
Aysén,2021-01-19,1.58,0.0,<50
Antofagasta,2021-01-19,0.76,0.0,<50
Arica y Parinacota,2021-01-19,0.83,0.0,<50
Atacama,2021-01-19,0.52,0.0,<50
Coquimbo,2021-01-19,0.73,0.0,<50
Araucanía,2021-01-19,0.07,0.07,<50
Los Lagos,2021-01-19,0.06,0.0,<50
Los Ríos,2021-01-19,0.04,0.0,<50
Magallanes,2021-01-19,0.09,0.09,<50
Tarapacá,2021-01-19,0.04,0.0,<50
Valparaíso,2021-01-19,0.07,0.0,<50
Ñuble,2021-01-19,1.06,0.0,<50
Biobío,2021-01-19,0.13,0.12,<50
O’Higgins,2021-01-19,0.79,0.0,<50
Maule,2021-01-19,0.04,0.0,<50
Metropolitana,2021-01-19,0.1,0.07,<50
Aysén,2021-01-20,1.83,0.0,<50
Antofagasta,2021-01-20,0.87,0.0,<50
Arica y Parinacota,2021-01-20,1.1,0.0,<50
Atacama,2021-01-20,0.79,0.0,<50
Coquimbo,2021-01-20,0.97,0.0,<50
Araucanía,2021-01-20,0.07,0.07,<50
Los Lagos,2021-01-20,0.06,0.0,<50
Los Ríos,2021-01-20,0.04,0.0,<50
Magallanes,2021-01-20,0.09,0.09,<50
Tarapacá,2021-01-20,0.04,0.0,<50
Valparaíso,2021-01-20,0.07,0.0,<50
Ñuble,2021-01-20,1.51,0.0,<50
Biobío,2021-01-20,0.13,0.12,<50
O’Higgins,2021-01-20,1.03,0.0,<50
Maule,2021-01-20,0.04,0.0,<50
Metropolitana,2021-01-20,0.1,0.07,<50
Aysén,2021-01-21,1.9,0.0,<50
Antofagasta,2021-01-21,0.87,0.0,<50
Arica y Parinacota,2021-01-21,1.13,0.0,<50
Atacama,2021-01-21,1.14,0.0,<50
Coquimbo,2021-01-21,1.03,0.0,<50
Araucanía,2021-01-21,0.07,0.07,<50
Los Lagos,2021-01-21,0.06,0.0,<50
Los Ríos,2021-01-21,0.04,0.0,<50
Magallanes,2021-01-21,0.09,0.09,<50
Tarapacá,2021-01-21,0.04,0.0,<50
Valparaíso,2021-01-21,0.07,0.0,<50
Ñuble,2021-01-21,1.51,0.0,<50
Biobío,2021-01-21,0.13,0.12,<50
O’Higgins,2021-01-21,1.16,0.0,<50
Maule,2021-01-21,0.04,0.0,<50
Metropolitana,2021-01-21,0.1,0.07,<50
Aysén,2021-01-22,1.9,0.0,<50
Antofagasta,2021-01-22,0.87,0.0,<50
Arica y Parinacota,2021-01-22,1.13,0.0,<50
Atacama,2021-01-22,1.22,0.0,<50
Coquimbo,2021-01-22,1.03,0.0,<50
Araucanía,2021-01-22,0.07,0.07,<50
Los Lagos,2021-01-22,0.06,0.0,<50
Los Ríos,2021-01-22,0.04,0.0,<50
Magallanes,2021-01-22,0.09,0.09,<50
Tarapacá,2021-01-22,0.04,0.0,<50
Valparaíso,2021-01-22,0.07,0.0,<50
Ñuble,2021-01-22,1.51,0.0,<50
Biobío,2021-01-22,0.13,0.12,<50
O’Higgins,2021-01-22,1.17,0.0,<50
Maule,2021-01-22,0.04,0.0,<50
Metropolitana,2021-01-22,0.1,0.07,<50
Aysén,2021-01-23,1.9,0.0,<50
Antofagasta,2021-01-23,0.87,0.0,<50
Arica y Parinacota,2021-01-23,1.13,0.0,<50
Atacama,2021-01-23,1.22,0.0,<50
Coquimbo,2021-01-23,1.03,0.0,<50
Araucanía,2021-01-23,0.07,0.07,<50
Los Lagos,2021-01-23,0.06,0.0,<50
Los Ríos,2021-01-23,0.04,0.0,<50
